#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.,,
#!,For more information visit http://aka.ms/hackingstem/,,
160,58,,
161,57,,
162,59,,
163,58,,
164,58,,
165,57,,
165,57,,
164,58,,
163,58,,
162,57,,
161,57,,
160,58,,
159,57,,
158,59,,
157,59,,
156,59,,
155,58,,
154,60,,
153,59,,
152,59,,
151,60,,
150,62,,
149,69,,
148,65,,
147,70,,
146,66,,
145,68,,
144,69,,
143,65,,
142,65,,
141,63,,
140,63,,
139,63,,
138,61,,
137,61,,
136,61,,
135,61,,
134,61,,
133,61,,
132,62,,
131,63,,
130,63,,
129,64,,
128,62,,
127,61,,
126,61,,
125,61,,
124,62,,
123,62,,
122,61,,
121,60,,
120,61,,
119,61,,
118,63,,
117,63,,
116,60,,
115,61,,
114,61,,
113,63,,
112,60,,
111,60,,
110,60,,
109,62,,
108,60,,
107,61,,
106,59,,
105,60,,
104,62,,
103,72,,
102,60,,
101,61,,
100,72,,
99,72,,
98,72,,
97,61,,
96,72,,
95,59,,
94,71,,
93,73,,
92,73,,
91,74,,
90,68,,
89,72,,
88,70,,
87,74,,
86,67,,
85,68,,
84,74,,
83,68,,
82,68,,
81,68,,
80,66,,
79,49,,
78,49,,
77,67,,
76,68,,
75,67,,
74,68,,
73,68,,
72,67,,
71,65,,
70,69,,
69,67,,
68,69,,
67,68,,
66,69,,
65,67,,
64,124,,
63,70,,
62,70,,
61,70,,
60,119,,
59,117,,
58,72,,
57,119,,
56,117,,
55,115,,
54,78,,
53,94,,
52,117,,
51,121,,
50,131,,
49,136,,
48,99,,
47,149,,
46,136,,
45,105,,
44,102,,
43,141,,
42,33,,
41,31,,
40,31,,
39,31,,
38,31,,
37,30,,
36,31,,
35,31,,
34,31,,
33,31,,
32,30,,
31,30,,
30,30,,
29,30,,
28,30,,
27,30,,
26,30,,
25,30,,
24,30,,
23,30,,
22,30,,
21,30,,
20,30,,
19,30,,
18,30,,
17,30,,
16,31,,
15,30,,
15,30,,
16,30,,
17,31,,
18,31,,
19,31,,
20,31,,
21,30,,
22,30,,
23,30,,
24,30,,
25,30,,
26,30,,
27,30,,
28,30,,
29,30,,
30,30,,
31,30,,
32,30,,
33,30,,
34,31,,
35,31,,
36,30,,
37,30,,
38,30,,
39,30,,
40,30,,
41,30,,
42,30,,
43,30,,
44,30,,
45,30,,
46,31,,
47,30,,
48,32,,
49,33,,
50,139,,
51,136,,
52,117,,
53,120,,
54,119,,
55,139,,
56,139,,
57,120,,
58,117,,
59,116,,
60,139,,
61,114,,
62,118,,
63,136,,
64,70,,
65,69,,
66,71,,
67,70,,
68,67,,
69,125,,
70,69,,
71,67,,
72,68,,
73,70,,
74,66,,
75,50,,
76,68,,
77,68,,
78,68,,
79,67,,
80,49,,
81,67,,
82,66,,
83,69,,
84,68,,
85,67,,
86,68,,
87,73,,
88,66,,
89,74,,
90,66,,
91,72,,
92,73,,
93,74,,
94,73,,
95,72,,
96,74,,
97,73,,
98,61,,
99,73,,
100,73,,
101,62,,
102,62,,
103,74,,
104,60,,
105,72,,
106,60,,
107,61,,
108,59,,
109,61,,
110,59,,
111,61,,
112,62,,
113,72,,
114,71,,
115,61,,
116,61,,
117,61,,
118,62,,
119,61,,
120,61,,
121,60,,
122,64,,
123,65,,
124,61,,
125,61,,
126,61,,
127,61,,
128,63,,
129,61,,
130,61,,
131,61,,
132,60,,
133,61,,
134,61,,
135,61,,
136,62,,
137,62,,
138,61,,
139,62,,
140,63,,
141,63,,
142,62,,
143,62,,
144,63,,
145,61,,
146,65,,
147,62,,
148,62,,
149,61,,
150,62,,
151,65,,
152,56,,
153,55,,
154,61,,
155,62,,
156,63,,
157,66,,
158,85,,
159,62,,
160,62,,
161,63,,
162,58,,
163,54,,
164,57,,
165,63,,
165,62,,
164,59,,
163,57,,
162,57,,
161,57,,
160,60,,
159,58,,
158,78,,
157,73,,
156,75,,
155,74,,
154,75,,
153,75,,
152,78,,
151,77,,
150,66,,
149,62,,
148,64,,
147,62,,
146,62,,
145,63,,
144,61,,
143,61,,
142,61,,
141,62,,
140,62,,
139,62,,
138,61,,
137,61,,
136,62,,
135,63,,
134,62,,
133,63,,
132,61,,
131,61,,
130,63,,
129,62,,
128,62,,
127,62,,
126,61,,
125,64,,
124,63,,
123,63,,
122,63,,
121,61,,
120,61,,
119,64,,
118,62,,
117,61,,
116,62,,
115,61,,
114,66,,
113,60,,
112,60,,
111,60,,
110,61,,
109,73,,
108,62,,
107,60,,
106,62,,
105,60,,
104,62,,
103,72,,
102,72,,
101,61,,
100,72,,
99,72,,
98,73,,
97,62,,
96,74,,
95,72,,
94,72,,
93,74,,
92,74,,
91,73,,
90,73,,
89,72,,
88,59,,
87,72,,
86,67,,
85,67,,
84,70,,
83,68,,
82,66,,
81,73,,
80,67,,
79,49,,
78,49,,
77,68,,
76,66,,
75,67,,
74,68,,
73,69,,
72,68,,
71,67,,
70,68,,
69,68,,
68,69,,
67,68,,
66,67,,
65,67,,
64,101,,
63,68,,
62,115,,
61,70,,
60,116,,
59,136,,
58,102,,
57,114,,
56,115,,
55,138,,
54,113,,
53,120,,
52,119,,
51,138,,
50,1183,,
49,139,,
48,141,,
47,182,,
46,142,,
45,139,,
44,117,,
43,32,,
42,31,,
41,31,,
40,31,,
39,31,,
38,31,,
37,31,,
36,31,,
35,31,,
34,31,,
33,31,,
32,31,,
31,31,,
30,31,,
29,30,,
28,30,,
27,31,,
26,23,,
25,31,,
24,30,,
23,30,,
22,30,,
21,30,,
20,30,,
19,31,,
18,31,,
17,31,,
16,31,,
15,30,,
15,30,,
16,30,,
17,30,,
18,30,,
19,30,,
20,30,,
21,31,,
22,31,,
23,30,,
24,30,,
25,30,,
26,30,,
27,30,,
28,30,,
29,30,,
30,30,,
31,30,,
32,31,,
33,31,,
34,30,,
35,31,,
36,31,,
37,30,,
38,31,,
39,31,,
40,31,,
41,31,,
42,31,,
43,31,,
44,31,,
45,31,,
46,30,,
47,32,,
48,33,,
49,1182,,
50,135,,
51,118,,
52,103,,
53,139,,
54,119,,
55,134,,
56,117,,
57,117,,
58,118,,
59,118,,
60,119,,
61,115,,
62,116,,
63,113,,
64,70,,
65,68,,
66,112,,
67,68,,
68,67,,
69,67,,
70,68,,
71,67,,
72,69,,
73,66,,
74,66,,
75,69,,
76,67,,
77,66,,
78,66,,
79,66,,
80,66,,
81,68,,
82,66,,
83,49,,
84,49,,
85,70,,
86,68,,
87,73,,
88,67,,
89,74,,
90,67,,
91,73,,
92,72,,
93,72,,
94,69,,
95,73,,
96,73,,
97,59,,
98,72,,
99,72,,
100,74,,
101,73,,
102,60,,
103,61,,
104,61,,
105,72,,
106,59,,
107,73,,
108,63,,
109,62,,
110,61,,
111,62,,
112,60,,
113,60,,
114,60,,
115,61,,
116,60,,
117,62,,
118,62,,
119,62,,
120,62,,
121,64,,
122,61,,
123,61,,
124,62,,
125,62,,
126,64,,
127,64,,
128,63,,
129,64,,
130,61,,
131,61,,
132,62,,
133,63,,
134,63,,
135,61,,
136,61,,
137,61,,
138,62,,
139,61,,
140,63,,
141,61,,
142,61,,
143,60,,
144,61,,
145,60,,
146,62,,
147,60,,
148,62,,
149,64,,
150,62,,
151,62,,
152,60,,
153,61,,
154,60,,
155,61,,
156,59,,
157,56,,
158,59,,
159,46,,
160,45,,
161,47,,
162,45,,
163,46,,
164,46,,
165,45,,
165,45,,
164,44,,
163,44,,
162,45,,
161,45,,
160,46,,
159,45,,
158,46,,
157,46,,
156,62,,
155,67,,
154,59,,
153,61,,
152,59,,
151,58,,
150,59,,
149,61,,
148,60,,
147,61,,
146,61,,
145,61,,
144,63,,
143,65,,
142,63,,
141,62,,
140,62,,
139,63,,
138,63,,
137,63,,
136,64,,
135,63,,
134,63,,
133,63,,
132,63,,
131,63,,
130,61,,
129,62,,
128,62,,
127,62,,
126,61,,
125,62,,
124,61,,
123,65,,
122,61,,
121,63,,
120,64,,
119,62,,
118,61,,
117,61,,
116,61,,
115,61,,
114,60,,
113,61,,
112,61,,
111,62,,
110,61,,
109,61,,
108,60,,
107,62,,
106,61,,
105,61,,
104,60,,
103,61,,
102,60,,
101,61,,
100,61,,
99,72,,
98,61,,
97,71,,
96,71,,
95,72,,
94,73,,
93,66,,
92,67,,
91,68,,
90,68,,
89,66,,
88,67,,
87,66,,
86,57,,
85,66,,
84,67,,
83,65,,
82,65,,
81,66,,
80,65,,
79,65,,
78,66,,
77,50,,
76,67,,
75,49,,
74,66,,
73,68,,
72,68,,
71,66,,
70,67,,
69,66,,
68,68,,
67,69,,
66,71,,
65,67,,
64,68,,
63,69,,
62,111,,
61,71,,
60,73,,
59,114,,
58,110,,
57,114,,
56,120,,
55,116,,
54,101,,
53,77,,
52,106,,
51,75,,
50,101,,
49,139,,
48,116,,
47,102,,
46,160,,
45,102,,
